gameid	time	trialNum	intendedTarget	clickedObject	outcome	pose	condition	object1Name	object1SketcherLoc	object1ViewerLoc	object2Name	object2SketcherLoc	object2ViewerLoc	object3Name	object3SketcherLoc	object3ViewerLoc	object4Name	object4SketcherLoc	object4ViewerLoc	png
pilot0	3598-c04def3c-df53-4875-aa11-3f304480b05e	1499462674903	14	AAASQIW3J32OL	33CID571057FH6XQIE6LOEJJL123LY	redsport	redsport	clickedObj	1	22	further	redsport	3	4	crow	4	1	knob	2	2	basset	1	3
pilot0	3598-c04def3c-df53-4875-aa11-3f304480b05e	1499462748818	15	AAASQIW3J32OL	33CID571057FH6XQIE6LOEJJL123LY	bluesedan	bluesedan	clickedObj	1	32	closer	bluesedan	1	2	hatchback	2	1	bluesport	3	4	white	4	3
pilot0	3598-c04def3c-df53-4875-aa11-3f304480b05e	1499462761796	16	AAASQIW3J32OL	33CID571057FH6XQIE6LOEJJL123LY	brown	brown	clickedObj	1	1	further	brown	2	2	robin	3	3	sling	4	4	weimaraner	1	1
pilot0	3598-c04def3c-df53-4875-aa11-3f304480b05e	1499462821847	17	AAASQIW3J32OL	33CID571057FH6XQIE6LOEJJL123LY	nightingale	nightingale	clickedObj	1	23	closer	nightingale	2	4	bluejay	3	3	cuckoo	4	2	tomtit	1	1
pilot0	3598-c04def3c-df53-4875-aa11-3f304480b05e	1499462835151	18	AAASQIW3J32OL	33CID571057FH6XQIE6LOEJJL123LY	sling	sling	clickedObj	1	17	further	sling	1	2	robin	2	3	brown	4	1	weimaraner	3	4
pilot0	3598-c04def3c-df53-4875-aa11-3f304480b05e	1499462888597	19	AAASQIW3J32OL	33CID571057FH6XQIE6LOEJJL123LY	waiting	waiting	clickedObj	1	21	closer	waiting	2	1	straight	4	4	inlay	1	2	leather	3	3
pilot0	3598-c04def3c-df53-4875-aa11-3f304480b05e	1499462947742	20	AAASQIW3J32OL	33CID571057FH6XQIE6LOEJJL123LY	bullmastiff	bullmastiff	clickedObj	1	11	closer	bullmastiff	2	1	pug	3	2	doberman	1	4	chihuahua	4	3
pilot0	3598-c04def3c-df53-4875-aa11-3f304480b05e	1499462960575	21	AAASQIW3J32OL	33CID571057FH6XQIE6LOEJJL123LY	knob	knob	clickedObj	1	38	further	knob	3	2	crow	2	3	redsport	1	4	basset	4	1
pilot0	3598-c04def3c-df53-4875-aa11-3f304480b05e	1499462974065	22	AAASQIW3J32OL	33CID571057FH6XQIE6LOEJJL123LY	squat	squat	clickedObj	1	13	further	squat	4	3	pigeon	2	4	beetle	1	1	bloodhound	3	2
pilot0	3598-c04def3c-df53-4875-aa11-3f304480b05e	1499463025579	23	AAASQIW3J32OL	33CID571057FH6XQIE6LOEJJL123LY	bluesport	bluesport	clickedObj	1	4	closer	bluesport	1	4	hatchback	2	2	bluesedan	4	3	white	3	1
pilot0	3598-c04def3c-df53-4875-aa11-3f304480b05e	1499463039131	24	AAASQIW3J32OL	33CID571057FH6XQIE6LOEJJL123LY	woven	woven	clickedObj	1	20	further	woven	4	1	sparrow	2	3	redantique	1	4	goldenretriever	3	2
pilot0	3598-c04def3c-df53-4875-aa11-3f304480b05e	1499463054081	25	AAASQIW3J32OL	33CID571057FH6XQIE6LOEJJL123LY	basset	basset	clickedObj	1	9	further	basset	2	2	crow	3	3	redsport	1	4	knob	4	1
pilot0	3598-c04def3c-df53-4875-aa11-3f304480b05e	1499463068578	26	AAASQIW3J32OL	33CID571057FH6XQIE6LOEJJL123LY	goldenretriever	goldenretriever	clickedObj	1	14	further	goldenretriever	1	3	sparrow	2	2	redantique	3	4	woven	4	1
pilot0	3598-c04def3c-df53-4875-aa11-3f304480b05e	1499463106258	27	AAASQIW3J32OL	33CID571057FH6XQIE6LOEJJL123LY	bloodhound	bloodhound	clickedObj	1	0	further	bloodhound	2	1	pigeon	1	4	beetle	4	3	squat	3	2
pilot0	3598-c04def3c-df53-4875-aa11-3f304480b05e	1499463119093	28	AAASQIW3J32OL	33CID571057FH6XQIE6LOEJJL123LY	weimaraner	weimaraner	clickedObj	1	26	further	weimaraner	2	2	robin	1	4	brown	3	1	sling	4	3
pilot0	3598-c04def3c-df53-4875-aa11-3f304480b05e	1499463162329	29	AAASQIW3J32OL	33CID571057FH6XQIE6LOEJJL123LY	tomtit	tomtit	clickedObj	1	36	closer	tomtit	4	1	bluejay	2	2	cuckoo	1	3	nightingale	3	4
pilot0	3598-c04def3c-df53-4875-aa11-3f304480b05e	1499463204354	30	AAASQIW3J32OL	33CID571057FH6XQIE6LOEJJL123LY	chihuahua	chihuahua	clickedObj	1	16	closer	chihuahua	1	3	pug	3	1	doberman	4	2	bullmastiff	2	4
pilot0	3598-c04def3c-df53-4875-aa11-3f304480b05e	1499463276120	31	AAASQIW3J32OL	33CID571057FH6XQIE6LOEJJL123LY	leather	leather	clickedObj	1	8	closer	leather	3	1	straight	4	4	inlay	2	2	waiting	1	3
pilot0	3598-c04def3c-df53-4875-aa11-3f304480b05e	1499463331298	32	AAASQIW3J32OL	33CID571057FH6XQIE6LOEJJL123LY	white	white	clickedObj	1	27	closer	white	4	1	hatchback	1	4	bluesedan	3	2	bluesport	2	3
